MERRA_ID,STATE_CODE,SHRP_ID
136614,6,2004
136614,6,7493
136619,4,BA01
136619,4,BA02
136619,4,BA03
136619,4,BA59
136619,4,BA60
136619,4,BA61
136620,4,1003
136621,4,0213
136621,4,0214
136621,4,0215
136621,4,0216
136621,4,0217
136621,4,0218
136621,4,0219
136621,4,0220
136621,4,0221
136621,4,0222
136621,4,0223
136621,4,0224
136621,4,0260
136621,4,0261
136621,4,0262
136621,4,0263
136621,4,0264
136621,4,0265
136621,4,0266
136621,4,0267
136621,4,0268
136621,4,1001
136621,4,1006
136621,4,1007
136621,4,7079
136621,4,7614
136621,4,B901
136621,4,B902
136621,4,B903
136621,4,B959
136621,4,B960
136621,4,B961
136621,4,B964
136622,4,7613
136622,4,A410
136622,4,A430
136622,4,A441
136622,4,A442
136622,4,A443
136622,4,A444
136622,4,A445
136622,4,A446
136622,4,A447
136622,4,A448
136622,4,A449
136622,4,A450
136622,4,A451
136622,4,A452
136622,4,A453
136622,4,A454
136622,4,A455
136622,4,A456
136622,4,A457
136622,4,A458
136622,4,A459
136622,4,A460
136622,4,A461
136622,4,A462
136633,35,1002
136633,35,1003
136638,48,1111
136639,48,1183
136639,48,E310
136639,48,E320
136639,48,E330
136639,48,E340
136639,48,E350
136639,48,E351
136639,48,E352
136640,48,3609
136642,48,AA01
136642,48,AA02
136642,48,AA03
136644,48,5328
136646,48,3845
136648,48,1068
136655,28,4024
136655,28,A410
136655,28,A430
136657,28,3082
136662,1,3028
136662,1,4007
136662,1,4084
136664,1,5008
136665,13,3016
136668,13,3017
136669,13,3018
137188,6,3017
137189,6,8150
137194,4,1034
137206,35,6033
137214,48,2176
137218,48,3589
137218,48,C410
137218,48,C420
137218,48,C430
137222,40,4161
137230,5,0803
137230,5,0804
137230,5,0809
137230,5,0810
137230,5,4019
137230,5,B410
137230,5,B430
137235,28,1001
137235,28,3081
137238,1,4126
137239,1,0601
137239,1,0602
137239,1,0603
137239,1,0604
137239,1,0605
137239,1,0606
137239,1,0607
137239,1,0608
137239,1,0661
137239,1,0662
137239,1,0663
137241,13,0502
137241,13,0503
137241,13,0504
137241,13,0505
137241,13,0506
137241,13,0507
137241,13,0508
137241,13,0509
137241,13,0561
137241,13,0562
137241,13,0563
137241,13,0564
137241,13,0565
137241,13,0566
137241,13,4119
137242,13,0560
137243,13,1001
137243,13,4111
137247,45,1024
137247,45,5017
137249,45,5034
137249,45,5035
137768,6,8151
137788,48,6160
137788,48,6179
137792,48,1077
137794,40,4087
137794,40,A320
137794,40,A330
137794,40,A340
137794,40,A350
137795,40,0113
137795,40,0114
137795,40,0115
137795,40,0116
137795,40,0117
137795,40,0118
137795,40,0119
137795,40,0120
137795,40,0121
137795,40,0122
137795,40,0123
137795,40,0124
137795,40,0160
137795,40,0501
137795,40,0502
137795,40,0503
137795,40,0504
137795,40,0505
137795,40,0506
137795,40,0507
137795,40,0508
137795,40,0509
137795,40,0560
137795,40,4162
137805,5,0213
137805,5,0214
137805,5,0215
137805,5,0216
137805,5,0217
137805,5,0218
137805,5,0219
137805,5,0220
137805,5,0221
137805,5,0222
137805,5,0223
137805,5,0224
137805,5,5803
137805,5,5805
137805,5,A601
137805,5,A602
137805,5,A603
137805,5,A604
137805,5,A605
137805,5,A606
137805,5,A607
137805,5,A608
137807,5,3048
137809,28,0805
137809,28,0806
137809,28,0902
137809,28,0903
137809,28,0959
137809,28,3089
137809,28,3090
137810,28,2807
137810,28,3083
137810,28,3085
137810,28,3087
137810,28,5803
137811,28,5006
137818,13,3007
137819,13,1031
137819,13,3019
137820,13,7028
137822,45,1025
137823,45,3012
137827,37,1645
138336,6,8153
138337,6,8156
138342,6,0501
138342,6,0502
138342,6,0503
138342,6,0504
138342,6,0505
138342,6,0506
138342,6,0507
138342,6,0508
138342,6,0509
138342,6,0569
138342,6,0570
138342,6,0571
138343,6,0559
138343,6,0560
138343,6,0561
138343,6,0562
138343,6,0563
138343,6,0564
138343,6,0565
138343,6,0566
138343,6,0567
138343,6,0568
138345,6,8149
138346,4,1037
138346,6,7491
138347,4,1021
138347,4,1022
138347,4,B310
138347,4,B320
138347,4,B330
138347,4,B350
138348,4,1062
138348,4,1065
138349,4,1002
138350,4,0660
138351,4,0601
138351,4,0602
138351,4,0603
138351,4,0604
138351,4,0605
138351,4,0606
138351,4,0607
138351,4,0608
138351,4,0659
138351,4,0661
138351,4,0662
138351,4,0663
138351,4,0664
138351,4,0665
138351,4,0666
138351,4,0667
138351,4,0668
138351,4,0669
138353,4,AA01
138353,4,AA02
138353,4,AA03
138353,4,AA59
138353,4,AA60
138353,4,AA61
138357,35,6035
138357,35,6401
138361,35,AA01
138361,35,AA02
138361,35,AA03
138361,35,AA61
138361,35,AA62
138363,35,2118
138364,48,6079
138365,48,1065
138366,48,5336
138367,48,1046
138367,48,1047
138367,48,5323
138367,48,5335
138369,48,5334
138372,40,4086
138372,40,4154
138374,40,1015
138374,40,4160
138374,40,A410
138374,40,A420
138374,40,A430
138374,40,B310
138374,40,B320
138374,40,B330
138374,40,B350
138374,40,B360
138376,40,4166
138378,40,6010
138381,5,3073
138382,5,4021
138382,5,4023
138382,5,A410
138382,5,A430
138384,5,3074
