SHRP_ID,STATE_CODE,STATE_CODE_EXP,DATE_COMPLETE,DATE_BEGAN,SECTION_LENGTH,SECTION_WIDTH,AIR_TEMP,RELATIVE_HUMIDITY,PAVE_TEMP,SURFACE_MOISTURE,SURFACE_MOISTURE_EXP,SURFACE_COND,SURFACE_COND_EXP,SURFACE_COND_OTHER,CRACK_SEVERITY_EXP,CRACK_SEVERITY,CRACK_TYPE,CRACK_TYPE_EXP,PERCENT_SEALED,LENGTH_SEALED,WIDTH_MIN,WIDTH_MEAN,WIDTH_MAX,DEPTH_MIN,DEPTH_MEAN,DEPTH_MAX,LENGTH_PREPARED,MAX_SEAL_TEMP,SEAL_TEMP_BEGIN,SEAL_TEMP_END,AVG_WIDTH_CRACK,SEAL_THICKNESS,CONSTRUCTION_NO
B330,20,Kansas,07/14/1990,07/14/1990,700,12,79,,92,1,Dry,3,Normal,,Low,1,6,Transverse cracking (AC),90,12,1.5,1.5,1.5,0.370000004768372,0.400000005960464,0.5,12,410,380,380,1.5,0.300000011920929,2
A330,20,Kansas,07/13/1990,07/13/1990,700,12,75,,,1,Dry,2,Slightly Oxidized,,Low,1,2,Block cracking (AC),95,1541,1.5,1.5,1.5,0.370000004768372,0.400000005960464,0.5,1541,410,375,375,1.5,0.300000011920929,2
B330,21,Kentucky,08/15/1990,08/15/1990,700,12,75,,95,1,Dry,3,Normal,,Low,1,6,Transverse cracking (AC),100,4,1.5,1.5,1.5,0.370000004768372,0.430000007152557,0.5,225,410,395,395,3,0.370000004768372,2
A330,21,Kentucky,08/14/1990,08/14/1990,700,12,87,76,95,1,Dry,3,Normal,,Low,1,1,Alligator cracking (AC),100,122,1.5,1.5,1.5,0.370000004768372,0.439999997615814,0.5,122,410,410,400,3,0.400000005960464,2
D330,26,Michigan,08/10/1990,08/10/1990,700,13,80,45,106,1,Dry,3,Normal,,Moderate,2,3,Edge cracking (AC),100,2057,1.5,1.5,1.5,0.379999995231628,0.5,0.600000023841858,2057,410,385,385,,0.5,2
C330,26,Michigan,08/09/1990,08/09/1990,700,13,76,40,93,1,Dry,1,Badly Oxidized,,Low,1,4,Longitudinal cracking (AC),90,1048,1.5,1.5,1.5,0.370000004768372,0.490000009536743,0.600000023841858,1048,410,385,385,,0.370000004768372,2
B330,26,Michigan,08/07/1990,08/07/1990,700,12,,40,,1,Dry,3,Normal,,Low,1,6,Transverse cracking (AC),80,403,1.5,1.5,1.5,0.379999995231628,0.439999997615814,0.5,403,410,385,385,3,0.349999994039536,2
A330,26,Michigan,08/05/1990,08/05/1990,700,12,74,55,84,1,Dry,3,Normal,,Low,1,4,Longitudinal cracking (AC),100,545,1.5,1.5,1.5,0.370000004768372,,0.5,545,410,390,395,1.5,0.400000005960464,2
A330,27,Minnesota,07/28/1990,07/28/1990,700,13,76,83,78,1,Dry,3,Normal,,Low,1,2,Block cracking (AC),95,3173,1.5,1.5,1.5,0.370000004768372,0.5,0.629999995231628,3173,410,385,385,1.5,0.400000005960464,2
B330,27,Minnesota,07/28/1990,07/28/1990,700,12,86,1,86,1,Dry,3,Normal,,Low,1,6,Transverse cracking (AC),95,1399,1.5,1.5,1.5,0.379999995231628,0.479999989271164,0.600000023841858,1399,410,380,385,1.5,0.400000005960464,2
B330,40,Oklahoma,09/10/1990,09/10/1990,600,12,100,40,123,1,Dry,2,Slightly Oxidized,,Moderate,2,4,Longitudinal cracking (AC),98,610,0.119999997317791,0.300000011920929,0.5,0.180000007152557,0.600000023841858,0.800000011920929,650,390,370,368,3.40000009536743,0.180000007152557,2
K351,48,Texas,06/22/1990,06/20/1990,500,12,,,,,,,,,Low,1,,,,115,,,,,,,,,,,,,2
E351,48,Texas,08/02/1990,08/02/1990,500,12,84,,,,,,,,Low,1,6,Transverse cracking (AC),100,36,,,,,,,,,,,,,2
L330,48,Texas,09/20/1990,09/20/1990,675,12,83,46,110,1,Dry,7,Other,"SEAL COAT WITH RUBBER, PITTED/OXIDIZED",Low,1,6,Transverse cracking (AC),98,360,0.119999997317791,0.200000002980232,0.349999994039536,0.140000000596046,0.219999998807907,0.379999995231628,365,390,362,360,3.40000009536743,0.0399999991059303,2
A330,1,Alabama,08/07/1990,08/07/1990,700,13,105,52,115,1,Dry,4,Slightly Flushed,,Low,1,4,Longitudinal cracking (AC),95,195,0.0799999982118607,0.129999995231628,0.200000002980232,0.0500000007450581,0.150000005960464,0.300000011920929,200,390,367,375,3,0.100000001490116,2
A330,12,Florida,08/13/1990,08/13/1990,700,12,94,58,115,1,Dry,3,Normal,,Low,1,4,Longitudinal cracking (AC),100,210,0.100000001490116,0.150000005960464,0.200000002980232,0.0500000007450581,0.100000001490116,0.25,210,390,365,390,2,,2
C330,1,Alabama,08/09/1990,08/09/1990,650,12,96,65,103,1,Dry,1,Badly Oxidized,,Moderate,2,4,Longitudinal cracking (AC),98,1808,0.100000001490116,0.449999988079071,1.79999995231628,0.119999997317791,0.699999988079071,1.75,1850,390,370,360,3,0.0500000007450581,2
A330,47,Tennessee,07/30/1990,07/30/1990,600,13.5,102,57,110,1,Dry,7,Other,POROUS FRICTION COURSE,Moderate,2,2,Block cracking (AC),90,4103,0.100000001490116,0.5,0.75,0.379999995231628,0.449999988079071,0.600000023841858,4200,390,390,350,3.5,0.100000001490116,2
C330,47,Tennessee,08/03/1990,08/03/1990,640,13,98,58,113,1,Dry,1,Badly Oxidized,,Low,1,6,Transverse cracking (AC),90,2175,0.100000001490116,0.200000002980232,1.20000004768372,0.0500000007450581,0.150000005960464,0.800000011920929,2400,390,385,375,2.5,0.100000001490116,2
B330,48,Texas,09/26/1990,09/26/1990,700,12,97,52,100,1,Dry,2,Slightly Oxidized,,Low,1,6,Transverse cracking (AC),100,1250,0.100000001490116,0.200000002980232,0.400000005960464,0.119999997317791,0.400000005960464,0.699999988079071,750,390,350,348,2.79999995231628,,2
D330,48,Texas,09/18/1990,09/18/1990,700,12.5,84,59,97,2,Mostly Dry,2,Slightly Oxidized,,Low,1,4,Longitudinal cracking (AC),97,80,0.100000001490116,0.25,0.75,0.100000001490116,0.400000005960464,0.550000011920929,100,390,365,365,3.20000004768372,0.200000002980232,3
H330,48,Texas,10/11/1990,10/11/1990,700,12.5,84,51,102,1,Dry,2,Slightly Oxidized,,Low,1,4,Longitudinal cracking (AC),100,48,0.100000001490116,0.129999995231628,0.150000005960464,0.200000002980232,0.300000011920929,0.400000005960464,48,390,370,370,2,,2
F330,48,Texas,10/04/1990,10/04/1990,700,12,89,47,114,1,Dry,3,Normal,,Low,1,4,Longitudinal cracking (AC),100,48,0.0700000002980232,0.159999996423721,0.280000001192093,0.119999997317791,0.300000011920929,0.439999997615814,48,390,376,370,2.59999990463257,,2
B330,12,Florida,08/16/1990,08/16/1990,700,12,86,85,85,1,Dry,3,Normal,,Low,1,4,Longitudinal cracking (AC),95,2905,0.0900000035762787,0.119999997317791,0.400000005960464,0.100000001490116,0.25,0.349999994039536,3000,390,385,365,2.29999995231628,0.0299999993294477,2
C330,12,Florida,08/17/1990,08/17/1990,650,12,94,55,104,1,Dry,3,Normal,,Low,1,1,Alligator cracking (AC),70,3521,0.100000001490116,0.200000002980232,0.800000011920929,0.100000001490116,0.280000001192093,0.899999976158142,5000,390,375,370,3.20000004768372,0.0199999995529652,2
A330,28,Mississippi,08/23/1990,08/23/1990,700,12,95,51,113,1,Dry,3,Normal,,Moderate,2,6,Transverse cracking (AC),100,330,0.119999997317791,0.349999994039536,0.800000011920929,0.129999995231628,0.550000011920929,3.79999995231628,330,390,355,350,3.70000004768372,,2
C330,40,Oklahoma,09/07/1990,09/07/1990,700,13,88,64,89,1,Dry,1,Badly Oxidized,,High,3,6,Transverse cracking (AC),98,195,0.119999997317791,0.75,2.5,0.25,9.98999977111816,9.98999977111816,200,390,355,360,2,,2
