STATE_CODE,STATE_CODE_EXP,SHRP_ID,SURVEY_DATE,CONSTRUCTION_NO,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,OTHER,SURVEY_WIDTH,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183
18,Indiana,A340,03/18/1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,30,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.79999995231628,0,10.3000001907349
18,Indiana,A350,03/18/1993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,BLEEDING RELATED TO EXCESS EMULSION IN WHEEL PATH RUTS -0.7M W X 2 WPS X 152.5M,3.70000004768372,0,0
19,Iowa,0603,09/02/1993,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,0,0,3,9,0,7.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.59999990463257,0,36
19,Iowa,0604,09/02/1993,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,120,0,0,0,0,18,0,0,63,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.59999990463257,0,63
19,Iowa,0606,09/02/1993,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.5,0,0,0,0,0,1,10,0,1.20000004768372,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.59999990463257,0,36
19,Iowa,0607,08/31/1993,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,0,0,200,0,0,2,3,0,2.5,9.5,0,2,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,0,8.30000019073486
19,Iowa,0608,09/01/1993,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.399993896484,0,0,250,0,0,2,2,0,4,7,0,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.59999990463257,0,11
19,Iowa,0659,09/02/1993,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.5,0,0,0,0,2,8,3,3.5,25.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.59999990463257,0,32
90,Saskatchewan,6420,06/15/1993,3,10.1000003814697,2.09999990463257,0,0,0,0,0,0,0,42.2000007629395,1.29999995231628,0,0,0,0,104,164.699996948242,23,0,0,0,15,25,3,31.3999996185303,85.3000030517578,10.8000001907349,0,0,0,0,1,2,0,2.40000009536743,50.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.79999995231628,113.099998474121,115.099998474121
20,Kansas,0101,10/26/1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW START OF SEC 515+55 CORE HOLES 5'BEFORE STA 515+50,3.79999995231628,0,0
20,Kansas,0102,10/27/1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW ASPHALT PAVEMENT,3.79999995231628,0,0
20,Kansas,0103,10/28/1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW ASPHALT PAVEMENT,3.79999995231628,0,0
20,Kansas,0104,10/28/1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW ASPHALT PAVEMENT. TRAFFIC SHIFT,3.79999995231628,0,0
20,Kansas,0105,10/27/1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW ASPHALT PAVEMENT,3.79999995231628,0,0
29,Missouri,A330,05/05/1993,2,2.40000009536743,0,0,0,0,0,0,0,0,42.7999992370605,0,0,42.7999992370605,0,0,305,0,0,298,0,0,68,0,0,79.5,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.800003051758,0,0,0,0,"EDGE CRACKING SET TO ZERO, ECOMPEX-98",3.70000004768372,42.7999992370605,15.8000001907349
29,Missouri,A340,05/05/1993,1,88.1999969482422,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,300.600006103516,45.7999992370605,5,0,0,0,102,1,0,104.599998474121,3.70000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.70000004768372,94,16.7000007629395
29,Missouri,A350,05/05/1993,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,58,0,0,0,0,0,15,0,0,28.8999996185303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,3.40000009536743,1,7.5
